work_id,chapter_id,title_han,title_vietnamese,source_volume_id,source_code,source_url,image_count,legacy_folder
HVH_012,HVH_012_01,八陣全書,Bát trận toàn thư,1082,NLVNPF-0871,https://lib.nomfoundation.org/collection/1/volume/1082/page/1,42,HVH_012
HVH_013,HVH_013_01,北寧省督學武魯庵,Bắc Ninh tỉnh đốc học Vũ Lỗ Am,682,NLVNPF-0522,https://lib.nomfoundation.org/collection/1/volume/682/page/1,130,HVH_013
HVH_014,HVH_014_01,改良蒙學國史教科書,Cải lương mông học quốc sử giáo khoa thư,687,NLVNPF-0527,https://lib.nomfoundation.org/collection/1/volume/687/page/1,43,HVH_014
HVH_015,HVH_015_01,高駢奏書地稿,Cao Biền tấu thư địa cảo,692,NLVNPF-0531,https://lib.nomfoundation.org/collection/1/volume/692/page/1,35,HVH_015
HVH_016,HVH_016_01,真定縣訓導武文奉寄詩,Chân Định huyện huấn đạo Vũ Văn Phụng ký thi,698,NLVNPF-0538,https://lib.nomfoundation.org/collection/1/volume/698/page/1,65,HVH_016
HVH_017,HVH_017_01,真福元國公傳,Chân Phúc Nguyên quốc công truyện,699,NLVNPF-0539,https://lib.nomfoundation.org/collection/1/volume/699/page/1,29,HVH_017
HVH_018,HVH_018_01,制藝精華,Chế nghệ tinh hoa (q.01),703,NLVNPF-0544-01,https://lib.nomfoundation.org/collection/1/volume/703/page/1,75,HVH_018
HVH_018,HVH_018_02,制藝精華,Chế nghệ tinh hoa (q.02),704,NLVNPF-0544-02,https://lib.nomfoundation.org/collection/1/volume/704/page/1,79,HVH_019
HVH_018,HVH_018_03,制藝精華,Chế nghệ tinh hoa (q.03),705,NLVNPF-0544-03,https://lib.nomfoundation.org/collection/1/volume/705/page/1,101,HVH_020
HVH_018,HVH_018_04,制藝精華,Chế nghệ tinh hoa (q.04),706,NLVNPF-0544-04,https://lib.nomfoundation.org/collection/1/volume/706/page/1,87,HVH_021
HVH_018,HVH_018_05,制藝精華,Chế nghệ tinh hoa (q.05),707,NLVNPF-0544-05,https://lib.nomfoundation.org/collection/1/volume/707/page/1,65,HVH_022
HVH_018,HVH_018_06,制藝精華,Chế nghệ tinh hoa (q.06),708,NLVNPF-0544-06,https://lib.nomfoundation.org/collection/1/volume/708/page/1,79,HVH_023
HVH_019,HVH_019_01,至靈縣先賢事跡,Chí Linh huyện tiên hiền sự tích,709,NLVNPF-0545,https://lib.nomfoundation.org/collection/1/volume/709/page/1,97,HVH_024
HVH_020,HVH_020_01,戰古堂,Chiến cổ đường,1151,NLVNPF-1015,https://lib.nomfoundation.org/collection/1/volume/1151/page/1,32,HVH_025
HVH_021,HVH_021_01,昭琥先生撰史儀義,Chiêu Hổ tiên sinh soạn sử nghi nghĩa,701,NLVNPF-0541,https://lib.nomfoundation.org/collection/1/volume/701/page/1,64,HVH_026
HVH_022,HVH_022_01,朱族家譜,Chu tộc gia phả,147,NLVNPF-0130,https://lib.nomfoundation.org/collection/1/volume/147/page/1,58,HVH_027
HVH_023,HVH_023_01,[周族后忌],[Chu tộc hậu kỵ],716,NLVNPF-0553,https://lib.nomfoundation.org/collection/1/volume/716/page/1,37,HVH_028
HVH_024,HVH_024_02,古今傳錄,Cổ kim truyền lục (q.02),722,NLVNPF-0558-02,https://lib.nomfoundation.org/collection/1/volume/722/page/1,54,HVH_029
HVH_025,HVH_025_01,鼓舞兑甲券例,Cổ vũ Đoài giáp khoán lệ,926,NLVNPF-0743,https://lib.nomfoundation.org/collection/1/volume/926/page/1,12,HVH_030
HVH_026,HVH_026_01,功過格校編,Công quá cách hiệu biên,928,NLVNPF-0745,https://lib.nomfoundation.org/collection/1/volume/928/page/1,140,HVH_031
HVH_027,HVH_027_01,公直大夫傳,Công trực đại phu truyện,929,NLVNPF-0746,https://lib.nomfoundation.org/collection/1/volume/929/page/1,76,HVH_032
